outcome,week_end,age_group,unvaccinated_rate,vaccinated_rate,boosted_rate,crude_vaccinated_ratio,crude_boosted_ratio,population_unvaccinated,population_vaccinated,population_boosted,outcome_unvaccinated,outcome_vaccinated,outcome_boosted,age_group_min,age_group_max
Deaths,2022-10-01,All,0.3,0.1,0.9,3.0,0.3,591822,842535.0,1037067.0,2,1.0,9.0,999,999
Deaths,2023-02-04,50-64,2.9,0.8,0.4,3.6,7.2,34169,125516.0,246849.0,1,1.0,1.0,50,64
Deaths,2022-04-09,18-29,0.0,0.0,0.0,0.0,0.0,98229,219416.0,147442.0,0,0.0,0.0,18,29
Hospitalizations,2021-12-04,30-49,37.7,3.8,0.0,9.9,0.0,185523,469462.0,103054.0,70,18.0,0.0,30,49
Cases,2021-05-15,30-49,171.7,14.1,0.0,12.2,0.0,338871,332283.0,0.0,582,47.0,0.0,30,49
Hospitalizations,2021-08-21,80+,34.6,15.1,0.0,2.3,0.0,31765,52936.0,0.0,11,8.0,0.0,80,200
Hospitalizations,2022-12-31,All,17.1,8.7,12.8,2.0,1.3,555407,853931.0,1040154.0,95,74.0,133.0,999,999
Hospitalizations,2023-05-06,All,3.3,1.3,2.4,2.5,1.4,537432,860338.0,1040639.0,18,11.0,25.0,999,999
Deaths,2021-07-24,80+,0.0,0.0,0.0,0.0,0.0,32759,52117.0,0.0,0,0.0,0.0,80,200
Cases,2022-01-22,65-79,582.4,416.6,253.6,1.4,2.3,50480,66009.0,141953.0,294,275.0,360.0,65,79
Cases,2021-05-29,All,63.9,6.8,0.0,9.4,0.0,1302037,1094752.0,0.0,832,74.0,0.0,999,999
Cases,2022-08-20,50-64,422.0,150.5,180.5,2.8,2.3,40519,126270.0,244938.0,171,190.0,442.0,50,64
Hospitalizations,2021-12-04,All,34.9,9.6,3.6,3.6,9.7,864337,1287028.0,333146.0,302,123.0,12.0,999,999
Deaths,2022-01-22,30-49,3.3,0.6,0.0,5.5,0.0,149571,332274.0,256937.0,5,2.0,0.0,30,49
Cases,2023-07-01,All,10.5,5.5,10.5,1.9,1.0,532370,860333.0,1040733.0,56,47.0,109.0,999,999
Hospitalizations,2022-06-04,50-64,30.4,6.8,5.1,4.5,6.0,42758,131758.0,237215.0,13,9.0,12.0,50,64
Hospitalizations,2022-12-17,65-79,63.5,41.5,31.5,1.5,2.0,40932,43361.0,171648.0,26,18.0,54.0,65,79
Deaths,2021-07-31,65-79,8.6,0.0,0.0,0.0,0.0,69459,192009.0,0.0,6,0.0,0.0,65,79
Deaths,2022-12-10,All,0.4,0.1,0.3,4.0,1.3,560620,851689.0,1039873.0,2,1.0,3.0,999,999
Hospitalizations,2022-01-29,30-49,25.4,11.3,3.3,2.2,7.7,145400,318707.0,273200.0,37,36.0,9.0,30,49
Deaths,2023-03-04,30-49,0.0,0.4,0.3,0.0,0.0,110600,277895.0,347260.0,0,1.0,1.0,30,49
Hospitalizations,2022-06-25,All,12.7,7.3,8.8,1.7,1.4,635698,868337.0,988583.0,81,63.0,87.0,999,999
Hospitalizations,2022-10-01,50-64,10.3,3.2,4.9,3.2,2.1,39014,125154.0,246575.0,4,4.0,12.0,50,64
Hospitalizations,2022-09-17,80+,19.2,87.9,46.8,0.2,0.4,26096,11381.0,47028.0,5,10.0,22.0,80,200
Deaths,2021-12-18,30-49,3.4,0.5,0.0,6.8,0.0,176574,429933.0,147317.0,6,2.0,0.0,30,49
Deaths,2023-11-04,65-79,2.6,0.0,0.6,0.0,4.3,37857,44044.0,172280.0,1,0.0,1.0,65,79
Cases,2023-02-18,65-79,129.6,126.7,106.6,1.0,1.2,40129,43398.0,171695.0,52,55.0,183.0,65,79
Hospitalizations,2023-07-29,All,1.9,1.2,2.5,1.6,0.8,530107,860315.0,1040772.0,10,10.0,26.0,999,999
Hospitalizations,2023-09-09,50-64,0.0,6.4,3.2,0.0,0.0,32271,125723.0,246940.0,0,8.0,8.0,50,64
Cases,2021-10-09,65-79,92.7,41.3,0.0,2.2,0.0,61521,191460.0,0.0,57,79.0,0.0,65,79
Hospitalizations,2022-04-02,65-79,8.3,9.7,1.3,0.9,6.4,48452,51564.0,159143.0,4,5.0,2.0,65,79
Hospitalizations,2022-02-26,50-64,12.8,5.5,3.2,2.3,4.0,46700,145752.0,217214.0,6,8.0,7.0,50,64
Cases,2021-05-01,All,200.5,20.6,0.0,9.7,0.0,1471355,709078.0,0.0,2950,146.0,0.0,999,999
